COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(I)31,QC(I)32,QC(I)33,QC(I)34,QC(I)35,QC(I)36,QC(I)37,QC(I)38,QC(I)39,QC(I)40,QC(I)41,QC(I)42,QC(I)43,QC(I)44,QC(I)45,QC(I)46,QC(I)47,QC(I)48,QC(I)49,QC(I)50,QC(I)51,QC(I)52,QC(I)53,QC(I)54,QC(I)55,QC(I)56,QC(I)57,QC(I)58,QC(I)59,QC(I)60,QC(I)61,QC(I)62,QC(I)63,QC(I)64,QC(I)65,QC(I)66,QC(I)67,QC(I)68,QC(I)69,QC(I)70,QC(S)1_Batch22,QC(S)2_Batch22,QC(S)3_Batch22,QC(S)4_Batch22,QC(S)5_Batch22,QC(S)6_Batch23,QC(S)7_Batch23,QC(S)8_Batch23,QC(S)9_Batch23,QC(S)10_Batch23,QC(S)11_Batch24,QC(S)12_Batch24,QC(S)13_Batch24,QC(S)14_Batch24,QC(S)15_Batch24,QC(S)16_Batch25,QC(S)17_Batch25,QC(S)18_Batch25,QC(S)19_Batch25,QC(S)20_Batch25,QC(S)21_Batch26,QC(S)22_Batch26,QC(S)23_Batch26,QC(S)24_Batch26,QC(S)25_Batch26,QC(S)26_Batch27,QC(S)27_Batch27,QC(S)28_Batch27,QC(S)29_Batch27,QC(S)30_Batch27,QC(S)31_Batch28,QC(S)32_Batch28,QC(S)33_Batch28,QC(S)34_Batch28,QC(S)35_Batch28,QC(S)36_Batch29,QC(S)37_Batch29,QC(S)38_Batch29,QC(S)39_Batch29,QC(S)40_Batch29,QC(S)41_Batch30,QC(S)42_Batch30,QC(S)43_Batch30,QC(S)44_Batch30,QC(S)45_Batch30,QC(S)46_Batch31,QC(S)47_Batch31,QC(S)48_Batch31,QC(S)49_Batch31,QC(S)50_Batch31,QC(S)51_Batch32,QC(S)52_Batch32,QC(S)53_Batch32,QC(S)54_Batch32,QC(S)55_Batch32,QC(S)56_Batch33,QC(S)57_Batch33,QC(S)58_Batch33,QC(S)59_Batch33,QC(S)60_Batch33,QC(S)61_Batch34,QC(S)62_Batch34,QC(S)63_Batch34,QC(S)64_Batch34,QC(S)65_Batch34,QC(S)66_Batch35,QC(S)67_Batch35,QC(S)68_Batch35,QC(S)69_Batch35,QC(S)70_Batch35
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2,3-Dihydroxybenzoic Acid",780054,722061,676326,763429,706963,718116,749211,716610,729144,719182,674941,687903,661744,666894,679579,674947,701206,693680,694111,687203,668987,705295,672379,702776,673244,671841,717456,710571,727563,721972,774765,771559,757938,783743,811987,748975,788836,815765,775056,782478,754277,759613,788160,792509,758544,776654,781902,785051,785902,739634,745688,770188,805973,749982,824011,845643,825084,851330,880973,868151,859034,814915,776988,799826,785775,698382,818562,814279,820088,823682,74766,76415,74627,80524,77515,73822,95561,80536,74401,72840,71383,76705,75208,72903,76048,71604,81996,71345,74062,77291,71544,74125,70028,75482,74353,76613,73113,78443,79293,78816,78066,77335,75086,79407,90019,78126,80195,80332,79600,84381,81670,83324,78758,89649,83604,88100,81238,84544,85458,72058,77656,87843,70868,83511,83978,89687,85848,82761,94410,96777,87268,82307,85500,88111,87285,80674,85346,86432,89032,88684
Gentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Orotate,370008,352291,329241,315323,300744,282432,285612,288523,276032,262750,263644,250882,252918,255231,252781,238828,237119,253544,243045,232603,226807,224357,215365,263890,251123,248386,250429,263827,253167,253527,301198,270657,290841,282592,258539,278724,253107,273064,261396,257239,280684,295154,282811,304536,286238,262942,277912,267242,284114,281699,244476,250578,251595,259451,257097,289707,275244,272336,278942,292103,280973,236563,232656,229379,224433,225256,274899,267649,259050,301882,378554,321641,303124,301320,296365,279855,277274,269290,251998,243221,255108,247100,246560,246373,240770,244675,249830,259986,256740,253998,251258,245009,250583,282229,267816,250211,256495,253988,251420,250902,296755,275289,256294,288414,288249,276852,274927,276470,277630,284929,259160,288662,281429,287348,298289,278977,256276,274115,281412,272172,276998,278417,292911,295593,290339,299563,291862,276848,274301,332310,335246,286244,279380,259410,259605,260085,339322,391873,383176,443331
Allantoin,802955,753503,754190,770071,752445,783396,790090,767142,779216,747448,782985,761256,751559,789826,802155,750975,729584,784606,785498,810360,775569,828730,800014,800486,843537,838753,850618,837063,850460,840878,872786,825332,849782,814846,835670,834348,833357,862830,858884,867787,866452,861961,870296,925426,902487,923951,933823,919943,928270,934373,916682,934922,944238,979150,1018548,1011339,1028338,1034529,1096385,1091945,970216,877268,834446,807676,784074,706146,845546,831184,822043,824168,7765644,7397923,7484427,7251175,7431199,7314523,7345965,7435524,7242883,7388640,7305148,7160092,7189269,7269315,7153625,7284476,7145754,7480588,7378504,7510391,7553432,7494819,7552124,7832043,7735598,7710933,7722020,7946707,7865884,7729692,7781990,7741096,7700756,7701919,7796757,7716955,7822598,7811140,7987092,7778748,7802308,7831331,7950031,8035298,8293355,8263150,8036397,8285281,8227739,8204017,8297047,8227692,8254546,8784265,8977870,9017884,8993479,9222695,9586647,9986184,9858642,9448423,9365160,8806100,8507577,8262955,8059279,8124010,8423377,8587354
n-isoValerylglycine,64704,59876,55112,52449,58777,54564,51334,57639,52575,58288,48653,56224,54789,53768,51897,58463,58895,50327,54593,51064,55453,55087,55635,52504,55331,62966,57122,63281,60973,53911,64940,62032,58266,60987,63680,68308,53097,64283,56993,52987,60978,58291,61699,66121,65092,61686,58526,60316,64020,63560,63170,64185,63718,57454,61871,64672,62914,62282,68111,65798,63768,52114,56965,58461,50034,46137,52717,56990,55533,56675,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoadipate,124130,118455,102727,120982,116066,124020,114289,116026,107607,100546,103745,109291,112674,102758,101388,115417,109631,105116,108287,107801,107931,107667,105234,105961,106671,113998,107134,112061,113149,101736,112012,94694,101312,103545,106869,106650,100969,94944,110316,95159,103633,101529,106155,99763,105278,103603,111798,103624,109518,101788,102782,98384,99463,101691,106410,96938,107611,110711,107662,98093,106239,96347,93722,90333,91351,89294,89181,93010,89524,83697,93001,75153,75974,77693,67085,67655,67093,67502,65445,64538,66825,67769,64993,64116,71296,68241,66816,64970,66357,67758,73325,65935,67319,67933,69252,70920,69406,67512,67522,62469,62938,78278,61847,72595,65416,68128,62445,70226,63108,65977,57213,57501,63080,59735,63006,65788,61560,63602,67240,63419,63225,62259,64131,69976,63989,62656,63038,66850,60135,69593,57459,57148,71686,62029,57212,66190,64600,55371,55905,56476
Indole-3-Carboxylic Acid,31683,31885,36781,28157,33142,31757,31493,31123,32021,30419,34263,29397,39202,35773,31613,32706,34688,26942,31418,27764,33403,33582,38798,27535,37242,36666,36310,30873,34990,31435,39180,31635,31879,32549,33363,33810,31857,40544,35610,35312,39433,32271,28365,40164,42250,40346,35999,36186,33987,31194,36065,30198,38572,34701,38574,36379,32326,35420,33617,36515,43316,29403,37711,33801,26328,36043,36067,31540,36569,30881,16349,14861,16195,15892,14413,14785,17673,14491,19592,17563,16771,15469,17784,17069,14686,17713,16237,17725,17285,14750,16484,17475,15069,19054,19644,17833,20434,18647,19761,18340,21194,15982,20046,22070,17233,16463,18235,17505,18330,19680,21812,21606,17253,19157,17900,21663,20336,21026,23031,21406,22549,21167,21694,22170,23857,23003,21303,23010,23861,23119,23599,22659,21942,19501,18224,19985,19609,20695,16841,15587
Indole-2-Carboxylic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Methyl-3-Hydroxyglutaric Acid,34040,28219,29258,32323,31449,32401,26993,26519,26858,35061,31195,25805,30292,30978,27443,25015,35393,33276,39785,39600,33023,42409,47551,47379,51162,43241,52811,53789,53330,61254,80235,78928,76027,76340,89663,84896,93791,90951,79212,85631,81772,101409,99079,113796,106969,101149,96681,85431,92030,101782,89219,93920,112322,87714,88372,86547,81730,87699,85480,83744,64128,61297,49844,57456,48331,48105,71792,81748,65911,79970,55961,47302,48789,55170,52043,46356,55866,47226,48530,54751,55453,44696,61591,58783,55301,54826,51087,62841,53435,77181,67968,75963,69366,98361,82991,90761,95572,91652,88546,127418,150048,131328,137383,140774,164289,136804,135972,175217,141074,150879,157751,181319,184610,176338,166902,172833,174279,174312,170476,185430,182982,203753,218250,215546,168256,157257,180727,179948,155217,173503,156564,168094,149668,188311,192015,183765,252710,294636,235818,249269
PPA,11153,10268,9313,11123,12020,11161,9210,9698,10429,11134,9371,10730,12359,9294,10617,12941,12879,8152,13429,11765,8093,9736,12360,9485,10850,10834,12751,10553,8585,11819,10704,10607,9687,9082,10003,9761,11607,11243,10312,10774,9216,10217,9342,11386,9029,11421,7845,7435,12171,7410,8407,9858,10229,8967,10292,10508,9659,9374,9189,8680,8252,9194,8955,6797,7025,7469,9201,8327,7807,7749,11263,11961,11977,13763,11711,10706,11077,12675,10705,15819,12477,10934,10806,13824,12229,12948,11535,12980,11121,10604,10544,12887,9701,12425,9968,11382,11126,12238,13285,13865,15876,12894,13536,13005,9719,16199,13751,10810,10965,9885,12886,13545,10761,11179,11798,12790,13435,11116,16818,13084,10606,13601,13266,14590,13154,14599,14640,10476,12728,11102,14471,12540,13689,9508,8567,9500,8099,8122,7483,7408
3-Hydroxycinnaminic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
p-Coumaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenyllactic Acid,512770,471956,546009,554546,521804,516276,578836,462749,592889,503053,491992,486545,582269,553122,498173,449971,419986,562079,518363,478059,523139,511683,568891,580036,592053,494836,556205,487291,614711,606401,611815,597325,580084,572951,604994,577894,587190,620838,637999,576966,595028,573480,609967,641051,599146,621819,592469,617737,508801,587294,617663,618488,641576,649325,596118,599175,594838,629294,651522,645741,587769,589743,574341,563512,516132,481155,559611,569739,519710,555041,764594,654758,677106,647052,680015,716973,627467,627516,673112,673332,647327,614322,700204,639266,542710,675034,623571,572952,671653,661392,679342,619875,634018,641911,706300,694334,685318,652920,723564,683768,718281,717488,674818,642492,674386,699444,646300,713516,677862,693097,633993,633593,710724,713467,727023,726569,673369,715649,724882,721354,739620,745063,753832,763948,752595,734636,784490,740826,797669,809386,801678,755836,807726,659294,706211,722169,599656,673924,564797,606573
3-(4-Hydroxyphenyl)Propionate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quinolinic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homogentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Urate,37143547,34827958,34343547,34451057,34901163,33758667,33647317,32529762,32334850,32835241,31691779,32072561,31582702,30777172,32683789,32147304,31606074,30953168,31364197,31851351,32258984,30714856,31259763,30773549,32139538,31149189,32581662,31301308,33206872,31585508,29727395,32233108,34103593,35022886,32087780,33486959,33208184,32924324,30817164,34075572,30687167,34309753,33755943,33945023,34488960,33735429,34692541,34306233,33409763,33065014,35233518,33817076,35073124,33758823,34154706,36474784,34809488,35383576,34945031,38375833,34016786,33474992,32060070,31597195,29974283,26606916,31613647,33440719,32703096,33143654,3536236,3111609,2976282,2966702,2856863,2817198,2862490,2768456,2730120,2681858,2635959,2744231,2701243,2630763,2516805,2586702,2590167,2592473,2498940,2588306,2480561,2397798,2619579,2615372,2666375,2711063,2592118,2505856,2457728,2802355,2497056,2510769,2832753,2756063,2804060,2849167,2550563,2629877,2439907,2635240,2580091,2971269,2918727,2604322,3053266,3018412,2926567,2898053,2884620,2824344,2867174,3022464,3056644,2996594,3088310,3008165,2797549,3106114,3271577,3313191,3328740,3356516,3227902,2870724,3184594,3258862,2736384,2373513,2741875,2996315
DHAP/D-GA3P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerol-3-P,552319,567369,561753,576587,555395,565637,587152,554312,567936,567456,546215,579288,564133,559516,528123,533807,508601,521230,567992,544640,527130,541195,547351,542990,532159,556184,546719,526985,537998,527288,519753,484437,518935,516134,514049,504571,497478,533488,531890,516615,521742,487923,497254,525465,515622,529473,516420,510257,474657,479386,502892,531483,490305,480002,489525,462890,503274,526811,499353,496520,501972,444231,450857,406007,395426,356002,411392,363986,357284,368044,287826,289725,277436,296600,273222,300830,279429,304745,291516,281323,294054,280309,288696,308225,283752,278421,286495,272152,293649,276036,294646,273133,287652,286501,279254,309201,282903,296401,278596,282301,257337,276140,322960,321511,296643,263966,274202,257194,293083,235720,258577,261240,292444,280833,235171,268158,294970,292956,267835,283871,280816,266082,290066,260650,295739,290018,283703,277460,274265,274745,281665,252688,273362,253389,276915,283075,230254,232423,233235,238051
trans-Aconitate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50406,43097,41758,29742,43867,41091,39905,32841,34620,32158,32678,26852,31698,25627,37554,30567,32481,30761,25607,29447,27421,27813,30677,26826,30353,31381,29533,24634,29561,28909,29743,22679,24748,24442,24764,33352,27693,22628,24013,22119,23816,20111,25811,26695,25579,24683,28363,30584,26829,31662,29993,29049,23646,27587,30170,23632,31781,25904,29875,36091,33008,33847,29224,29959,32375,30352,84675,61125,40010,65454
Shikimic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
