"5,6-Dihydrouracil",HMDB00076,C00429,214096,200622,505985,147739,279547,221228,259713,132049,362101,165804,249015,238394,341304,258712,256919,266128,201506,359632,246068,393680,350287,238364,229094,224991,264335,321504,332428,231366,212966,189705,174320,181757,206356,191737,312446,218973,241561,270004,181448,127081,207605,161524,217631,133148,167515,220606,200434,190727,136110,184627,146907,173869,198764,157042,138655,245792,195139,113654,196034,138528,260065,229084,294072,273959,214175,194250,261702,206559,148619,219115,192483,214557,197072,167977,181873,173910,160848
Proline,HMDB00162,C00148,5009203,3833704,11385709,5803748,4359051,6079351,4421135,4143719,7080937,6565173,5955838,5927539,8329411,6127537,5480113,7593098,5594912,5758724,4752692,8343141,7621101,5028730,4611999,5872886,4349202,5131269,5974694,6225576,8140669,5853181,6105968,2885940,3485725,7060308,5535554,6067825,5565118,5635470,3331961,5793842,6732544,3964563,8693994,7415132,6343182,3886582,3299531,3754050,3950718,4766737,3450388,5286348,4447589,4904529,4506405,4738593,5537793,2944635,4906350,4769726,6578794,5670675,5785801,4091976,6183012,3663608,4593113,5871011,4278893,4126605,3780100,4007302,5195344,4849337,5542277,3985559,3661330
5-Aminovaleric Acid,HMDB03355,C00431,222929,271632,285132,107010,181532,205938,441581,166479,322874,217823,368926,259988,306027,221703,329389,288099,214154,305867,218890,422020,381167,313527,321297,217823,259813,260541,286107,364258,203034,316114,290701,151908,248463,171521,345008,246482,323681,292363,144143,118740,168896,163873,236847,202597,245424,172381,208649,191136,174335,166675,184926,115729,228038,194275,245348,115644,344610,133002,340740,94262,309222,467282,275091,271624,271861,190946,200465,284766,193897,254980,263253,218841,296013,250140,232677,332221,146529
Betaine,HMDB00043,C00719,161141447,140809747,178898622,142337418,131457112,155383822,178577377,156111027,151325100,153546325,197003320,143761980,137297354,151291630,151484908,189083053,145187911,155150740,148099576,153019297,158578156,175700403,145138943,150953540,174724124,211761591,154096290,165715023,172964946,145615118,160542016,116636541,144242850,176082669,137160178,158601175,149609043,140236734,127516444,183349370,146140983,162380283,133147538,163460964,152846582,143306835,134512453,128779081,130477118,145759879,133231412,132680787,145334406,149133314,167978237,124378692,152742556,130232477,146672121,125187012,167687073,153827727,161109059,214564075,146167327,134948657,143535328,144124423,138423374,122170146,149532980,140840426,170071114,160985127,159946084,158075710,153968845
Valine,HMDB00883,C00183,3153733,3929059,4876853,1624205,5553489,3487091,2532634,3451428,3812093,3014808,4588663,3618003,4257165,3946515,3016834,5976429,2610282,3099372,2701544,4159723,3134975,4415933,3592907,2546658,4868932,3879024,4085738,3143374,4025376,3208542,3966255,2995594,2877377,2933661,3523425,2771726,2476301,4878169,2813283,1971150,2926451,2340352,3933690,2169005,3170482,4391898,2847006,2687493,2332410,3066002,2355672,2884134,1955906,2669460,4034757,3873580,4463627,1057572,3589824,3561838,4188732,2856610,3296473,3667914,3168491,2659223,4057664,4216313,4013597,3011367,2619627,3196782,3792731,2346893,2305028,2137970,5066803
Indole,HMDB00738,C00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threonine,HMDB00167,C00188,10447297,6707796,12266102,5692393,20378694,12361327,12206635,6427572,10857185,5906075,11690355,8039081,14039142,10935406,8752973,11276028,10134666,13996525,11506147,18010060,7834632,12790730,12114778,8901540,9005551,8219866,11559931,10597326,12657430,7959350,7084087,10613377,9409807,14961392,16691891,11637064,7195931,10617124,6348963,6682125,10647916,7529352,11054826,7262901,7233275,10105335,5658496,6932319,8069803,10227500,8459565,7145833,6997629,8195768,6917336,8260186,12908147,4891642,11825717,6821915,9125492,8471985,15649034,8352405,11064667,8139900,10959197,12115564,8458463,10782832,10408570,7456837,8798825,6617664,7530751,5912294,9371475
Cysteine,HMDB00574,C00097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Niacinamide,HMDB01406,C00153,257774,111302,1328213,110919,127137,431417,27395,84257,241126,3014498,894132,345563,28460,230782,251076,74923,48574,464637,132640,234860,1314949,118787,581267,207701,19956,135020,817317,133247,232712,32325,2986398,180306,357619,118322,210102,271949,63820,602636,79924,340396,291854,250740,18777,559199,1217917,352526,181144,125820,157688,117766,215414,66073,65222,146855,140220,516452,175335,24229,59773,53869,92499,104770,73131,92249,225836,36814,340838,278580,186640,421815,434010,542431,213581,48461,48364,309159,116468
Taurine,HMDB00251,C00245,1721427,904750,2570381,1123510,2890491,4249812,1631054,1735621,1821459,1480302,3994706,2451626,1421021,1419631,1945104,1791304,1904964,3055776,1661254,2663859,1979067,2145126,1654696,1422338,1527741,3372193,4510982,2113692,2364827,1310324,2769984,2280054,1699488,1627102,3604581,1583307,1917509,3962110,1128776,1640815,1568695,1400249,1422313,2188638,4081471,1844588,1790817,1271048,2278941,1144984,1473879,1850130,2335309,1400612,1121471,4550761,2223369,1051030,1491758,1415696,2550369,1942037,1783119,1781834,1713382,1747953,4061804,1048363,1648799,2747804,2274477,1958818,2936058,1084366,1784285,2470992,1311599
1-Methylhistamine,HMDB00898,C05127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imidazoleacetic Acid,HMDB02024,C02835,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"5,6-Dihydrothymine",HMDB00079,C00906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
